"Find School/District Results"

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","Inter-District Magnet","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Adult Education Providers",,="0150317","APT Foundation","425 Grand Street","Bridgeport","CT",="06610","203-337-9943","203-337-4394",,,,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="0800182","ARC of Meriden-Wallingford, Inc.","224 Cook Avenue","Meriden","CT",="06451","203-238-8362",,,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools",,="0570182","Abilis-Greenwich","50 Glenville Street","Greenwich","CT",="06831","203-531-1880 x154","203-531-9367",,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools",,="1350721","Abilis-Stamford","1150 Summer Street","Stamford","CT",="06905","203-324-1880","203-324-4390",,"Standard Non-Public",,,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools",,="0090182","Ability Beyond","4 Berkshire Road","Bethel","CT",="06801","203-826-3103",,,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools",,="8250121","Academy at Swift River","151 South St","Cummington","MA",="01026","800-258-1770",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="0846121","Academy of Our Lady of Mercy, Lauralton Hall","200 High Street","Milford","CT",="06460","203-877-2786","203-876-9760",,"Standard Non-Public",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="0951021","Academy of St. Therese","7 Hurlbutt Road","New London","CT",="06230","860-437-6490",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="1336121","Academy of the Holy Family","54 Main Street","Baltic","CT",="06330","860-822-9272","860-822-1318",,"Standard Non-Public",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="1670421","Acord, Inc. - Woodbridge","214 Amity Road","Woodbridge","CT",="06492","203-269-3599","203-269-1980",,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools",,="1480182","Acord, Inc.- Wallingford","950 Yale Avenue","Wallingford","CT",="06492","203-269-3599","203-269-1980",,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools",,="0830721","Adelbrook Transition Academy 2","100 Riverview Center, Suite 102","Middletown","CT",="06457","860-740-2550","860-788-7629",,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools",,="0836321","Adelbrook Transitional Academy 1","100 Riverview Center, Suite 125","Middletown","CT",="06547","860-635-6010","860-635-3708",,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools",,="0330161","Adelbrook-The Learning Center of Cromwell","60 Hicksville Road","Cromwell","CT",="06416","860-635-6010","860-635-3708","http://www.adelbrook.org","APSEP",,,="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="0430121","Adelbrook-The Learning Center of East Hartford","21 Church Street","East Hartford","CT",="06108","860-540-4300",,"http://www.adelbrook.org","APSEP",,,="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="0770221","Adelbrook-The Learning Center of Manchester","42 Prospect Street","Manchester","CT",="06040","860-645-1255",,"http://www.adelbrook.org","APSEP",,,="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools",,="8250621","Aditus Inc.","11 Glendale Road","East Longmeadow","MA",="01028","x-",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8010261","Alabama Clinical Schools","1221 Alton Drive, P.O. Box 100968","Birmingham","AL",="35210","205-836-9923",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="1340321","Alden Brook School, Incorporated","165 Leonard Road","Stafford Springs","CT",="06076","860-684-3398",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Public Schools",,="8251611","Alfred M. Chaffee School","9 Clover Street","Oxford","MA",="01540","508-987-6057",,,,,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="0930221","All Nations Christian Academy","358 Lenox Street","New Haven","CT",="06513","203-467-6083",,"http://www.allnationschristianacademy.org","Standard Non-Public",,,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools",,="1036121","All Saints Catholic School","139 West Rocks Road","Norwalk","CT",="06851","203-847-3881","203-847-8055",,"Standard Non-Public",,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools",,="1511621","Alpha & Omega Christian Academy","50 Linden Street","Waterbury","CT",="06702","203-754-2557","203-573-1244",,"Standard Non-Public",,,="0",="0",="1",="1",="1",="0",="0",="1",="0",="1",="1",="1",="0",="0"
"Nonpublic Elementary and Secondary Schools",,="0280321","Alternative Services - CT, Inc.: Mobile Vocational Services","84 Linwood Avenue","Colchester","CT",="06266","860-942-8270 x23","860-942-8274",,"TVSP",,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
