"FTE Staffing Report for 2003-04"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",892.4
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2112.3
,="Counselors  Social Workers  and School Psychologists",="Certified",2896.3
,="General Education - Teachers and Instructors",="Certified",36352.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4380.0
,="Instructional Specialists Who Support Teachers",="Certified",1294.4
,="Library/Media - Specialists (Certified)",="Certified",787.8
,="Library/Media - Support Staff",="Non-Certified",755.1
,="School Nurses",="Non-Certified",1103.5
,="Special Education - Teachers and Instructors",="Certified",5411.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6975.1
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22337.2

