"FTE Staffing Report for 2013-14"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",945.8
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2540.3
,="Counselors  Social Workers  and School Psychologists",="Certified",3264.6
,="General Education - Teachers and Instructors",="Certified",36432.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5231.9
,="Instructional Specialists Who Support Teachers",="Certified",2057.5
,="Library/Media - Specialists (Certified)",="Certified",750.8
,="Library/Media - Support Staff",="Non-Certified",567.2
,="School Nurses",="Non-Certified",1216.7
,="Special Education - Teachers and Instructors",="Certified",5879.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9023.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24377.3

