"FTE Staffing Report for 2005-06"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",923.8
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2211.8
,="Counselors  Social Workers  and School Psychologists",="Certified",3007.3
,="General Education - Teachers and Instructors",="Certified",36856.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4377.9
,="Instructional Specialists Who Support Teachers",="Certified",1585.7
,="Library/Media - Specialists (Certified)",="Certified",791.8
,="Library/Media - Support Staff",="Non-Certified",815.5
,="School Nurses",="Non-Certified",1132.4
,="Special Education - Teachers and Instructors",="Certified",5638.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7532.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23260.0

