"FTE Staffing Report for 2004-05"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",896.1
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2196.1
,="Counselors  Social Workers  and School Psychologists",="Certified",2961.9
,="General Education - Teachers and Instructors",="Certified",36532.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4465.4
,="Instructional Specialists Who Support Teachers",="Certified",1518.8
,="Library/Media - Specialists (Certified)",="Certified",793.6
,="Library/Media - Support Staff",="Non-Certified",840.3
,="School Nurses",="Non-Certified",1126.1
,="Special Education - Teachers and Instructors",="Certified",5571.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7347.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22608.6

