"FTE Staffing Report for 2007-08"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",927.8
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2399.9
,="Counselors  Social Workers  and School Psychologists",="Certified",3097.0
,="General Education - Teachers and Instructors",="Certified",37187.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4554.9
,="Instructional Specialists Who Support Teachers",="Certified",1870.0
,="Library/Media - Specialists (Certified)",="Certified",804.6
,="Library/Media - Support Staff",="Non-Certified",711.6
,="School Nurses",="Non-Certified",1174.8
,="Special Education - Teachers and Instructors",="Certified",5781.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8265.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24252.3

