"FTE Staffing Report for 2009-10"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",887.2
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2367.4
,="Counselors  Social Workers  and School Psychologists",="Certified",3161.1
,="General Education - Teachers and Instructors",="Certified",36768.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4265.6
,="Instructional Specialists Who Support Teachers",="Certified",1967.6
,="Library/Media - Specialists (Certified)",="Certified",802.7
,="Library/Media - Support Staff",="Non-Certified",638.0
,="School Nurses",="Non-Certified",1187.3
,="Special Education - Teachers and Instructors",="Certified",5817.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8288.2
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23592.1

