"FTE Staffing Report for 2006-07"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",923.2
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2281.3
,="Counselors  Social Workers  and School Psychologists",="Certified",3045.6
,="General Education - Teachers and Instructors",="Certified",37125.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4441.0
,="Instructional Specialists Who Support Teachers",="Certified",1675.0
,="Library/Media - Specialists (Certified)",="Certified",797.1
,="Library/Media - Support Staff",="Non-Certified",801.8
,="School Nurses",="Non-Certified",2170.5
,="Special Education - Teachers and Instructors",="Certified",5675.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8063.1
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23555.8

