"FTE Staffing Report for 2010-11"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",891.5
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2376.9
,="Counselors  Social Workers  and School Psychologists",="Certified",3151.1
,="General Education - Teachers and Instructors",="Certified",36174.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4239.1
,="Instructional Specialists Who Support Teachers",="Certified",1985.2
,="Library/Media - Specialists (Certified)",="Certified",783.4
,="Library/Media - Support Staff",="Non-Certified",629.6
,="School Nurses",="Non-Certified",1188.1
,="Special Education - Teachers and Instructors",="Certified",5774.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8761.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23859.2

