"FTE Staffing Report for 2017-18"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",1045.9
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2573.9
,="Counselors  Social Workers  and School Psychologists",="Certified",3448.3
,="General Education - Teachers and Instructors",="Certified",35790.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4775.4
,="Instructional Specialists Who Support Teachers",="Certified",2277.1
,="Library/Media - Specialists (Certified)",="Certified",753.4
,="Library/Media - Support Staff",="Non-Certified",468.8
,="School Nurses",="Non-Certified",1318.2
,="Special Education - Teachers and Instructors",="Certified",6057.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11311.3
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24904.5

