"FTE Staffing Report for 2011-12"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",909.0
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2400.2
,="Counselors  Social Workers  and School Psychologists",="Certified",3164.7
,="General Education - Teachers and Instructors",="Certified",36144.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4209.7
,="Instructional Specialists Who Support Teachers",="Certified",1991.4
,="Library/Media - Specialists (Certified)",="Certified",756.9
,="Library/Media - Support Staff",="Non-Certified",576.8
,="School Nurses",="Non-Certified",1168.1
,="Special Education - Teachers and Instructors",="Certified",5817.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8606.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23989.1

