"FTE Staffing Report for 2014-15"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",967.0
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2613.2
,="Counselors  Social Workers  and School Psychologists",="Certified",3348.9
,="General Education - Teachers and Instructors",="Certified",36252.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5365.9
,="Instructional Specialists Who Support Teachers",="Certified",2208.6
,="Library/Media - Specialists (Certified)",="Certified",742.0
,="Library/Media - Support Staff",="Non-Certified",568.5
,="School Nurses",="Non-Certified",1269.6
,="Special Education - Teachers and Instructors",="Certified",5831.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10341.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",25145.8

