"FTE Staffing Report for 2015-16"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",989.8
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2651.4
,="Counselors  Social Workers  and School Psychologists",="Certified",3366.8
,="General Education - Teachers and Instructors",="Certified",36298.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5064.0
,="Instructional Specialists Who Support Teachers",="Certified",2257.8
,="Library/Media - Specialists (Certified)",="Certified",748.1
,="Library/Media - Support Staff",="Non-Certified",547.5
,="School Nurses",="Non-Certified",1509.5
,="Special Education - Teachers and Instructors",="Certified",5931.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11452.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",25296.4

