"FTE Staffing Report for 2016-17"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",1058.2
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2627.5
,="Counselors  Social Workers  and School Psychologists",="Certified",3415.8
,="General Education - Teachers and Instructors",="Certified",36205.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5169.8
,="Instructional Specialists Who Support Teachers",="Certified",2296.3
,="Library/Media - Specialists (Certified)",="Certified",750.6
,="Library/Media - Support Staff",="Non-Certified",526.0
,="School Nurses",="Non-Certified",1297.8
,="Special Education - Teachers and Instructors",="Certified",5955.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10907.8
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24158.6

