Town,VName,Vendor,VAddrs,VType,VGrp,Spons,CCode,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,1,,11000-10020-82079-2013-170036-,20000.0000,2/22/2013,School Nutrition Rating System Pilot Pgm,CM_MAR2013_00001_2013053,2013/02/22 #: CM_MAR2013_00001_2013053,02/22/2013,11000-10020-82079-2013,2,11000-10020-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-10020-82079-2013-170036-,10000.0000,3/20/2013,School Nutrition Rating System Pilot Pgm,CM_APR2013_00001_2013079,2013/03/20 #: CM_APR2013_00001_2013079,03/20/2013,11000-10020-82079-2013,2,11000-10020-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-10020-82079-2013-170036-,10000.0000,4/22/2013,School Nutrition Rating System Pilot Pgm,CM_MAY2013_00001_2013112,2013/04/22 #: CM_MAY2013_00001_2013112,04/22/2013,11000-10020-82079-2013,2,11000-10020-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-10020-82079-2013-170036-,9940.0000,5/24/2013,School Nutrition Rating System Pilot Pgm,CM_JUN2013_00001_2013144,2013/05/24 #: CM_JUN2013_00001_2013144,05/24/2013,11000-10020-82079-2013,2,11000-10020-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2013-170036-,7000.0000,10/19/2012,Primary Mental Health,CM_OCT2012_00000_2012293,2012/10/19 #: CM_OCT2012_00000_2012293,10/19/2012,11000-12198-82079-2013,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2013-170036-,2000.0000,11/21/2012,Primary Mental Health,CM_DEC2012_00000_2012326,2012/11/21 #: CM_DEC2012_00000_2012326,11/21/2012,11000-12198-82079-2013,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2013-170036-,3000.0000,1/25/2013,Primary Mental Health,CM_FEB2013_00001_2013025,2013/01/25 #: CM_FEB2013_00001_2013025,01/25/2013,11000-12198-82079-2013,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2013-170036-,2000.0000,2/22/2013,Primary Mental Health,CM_MAR2013_00002_2013053,2013/02/22 #: CM_MAR2013_00002_2013053,02/22/2013,11000-12198-82079-2013,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2013-170036-,2000.0000,3/20/2013,Primary Mental Health,CM_APR2013_00002_2013079,2013/03/20 #: CM_APR2013_00002_2013079,03/20/2013,11000-12198-82079-2013,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2013-170036-,3437.0000,4/22/2013,Primary Mental Health,CM_MAY2013_00002_2013112,2013/04/22 #: CM_MAY2013_00002_2013112,04/22/2013,11000-12198-82079-2013,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2013-170002-,6110.0000,4/22/2013,Youth Service Bureau-Enhancement,CM_MAY2013_00003_2013112,2013/04/22 #: CM_MAY2013_00003_2013112,04/22/2013,11000-16201-82079-2013,2,11000-16201-82079-170002,QE-4 06/30,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2013-170005-,11701.0000,9/27/2012,Child Nutrition State Matching Grant,STMCH_PUB_01-OCT2012-2012271,2012/09/27 #: STMCH_PUB_01-OCT2012-2012271,09/27/2012,11000-16211-82051-2013,2,11000-16211-82051-170005,QE-1 09/30,
