Town,VName,Vendor,VAddrs,VType,VGrp,Spons,CCode,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2009-170036-,2200.0000,3/27/2009,Primary Mental Health,CM_APR2009_00001,2009/03/27 #: CM_APR2009_00001,03/27/2009,11000-12198-82079-2009,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2009-170036-,5000.0000,11/26/2008,Primary Mental Health,CM_DEC2008_00001,2008/11/26 #: CM_DEC2008_00001,11/26/2008,11000-12198-82079-2009,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2009-170036-,2000.0000,1/30/2009,Primary Mental Health,CM_FEB2009_00001,2009/01/30 #: CM_FEB2009_00001,01/30/2009,11000-12198-82079-2009,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2009-170036-,2500.0000,12/24/2008,Primary Mental Health,CM_JAN2009_00001,2008/12/24 #: CM_JAN2009_00001,12/24/2008,11000-12198-82079-2009,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2009-170036-,1800.0000,3/2/2009,Primary Mental Health,CM_MAR2009_00001,2009/03/02 #: CM_MAR2009_00001,03/02/2009,11000-12198-82079-2009,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2009-170036-,2500.0000,4/30/2009,Primary Mental Health,CM_MAY2009_00001,2009/04/30 #: CM_MAY2009_00001,04/30/2009,11000-12198-82079-2009,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2009-170036-,1290.0000,5/28/2009,Primary Mental Health,CM_JUN2009_00050,2009/05/28 #: CM_JUN2009_00050,05/28/2009,11000-12198-82079-2009,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,000,00,1,,11000-16072-82010-2009-170005-,24881.0000,10/29/2008,Healthy Foods Grant,HEALTHY_FOODS_2009,2008/10/29 #: HEALTHY_FOODS_2009,10/29/2008,11000-16072-82010-2009,2,11000-16072-82010-170005,QE-2 12/31,
2,Ansonia,0000000002,000,00,1,,11000-16072-82010-2009-170005-,8792.0000,4/1/2009,Healthy Foods Grant,HEALTHY_FOODS_MAR2009,2009/04/01 #: HEALTHY_FOODS_MAR2009,04/01/2009,11000-16072-82010-2009,2,11000-16072-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,002,02,1,00200,11000-16072-82051-2009-170005-,3986.0000,3/6/2009,Child Nutrition State Matching Grant,PUB_STMCH_MAR2009,2009/03/06 #: PUB_STMCH_MAR2009,03/06/2009,11000-16072-82051-2009,2,11000-16072-82051-170005,QE-3 03/31,
