Town,VName,Vendor,VAddrs,VType,VGrp,Spons,CCode,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2012-170036-,4000.0000,10/24/2011,Primary Mental Health,CM_NOV2011_00001_2011297,2011/10/24 #: CM_NOV2011_00001_2011297,10/24/2011,11000-12198-82079-2012,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2012-170036-,3500.0000,11/23/2011,Primary Mental Health,CM_DEC2011_00001_2011327,2011/11/23 #: CM_DEC2011_00001_2011327,11/23/2011,11000-12198-82079-2012,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2012-170036-,2000.0000,12/16/2011,Primary Mental Health,CM_JAN2012_00001_2011350,2011/12/16 #: CM_JAN2012_00001_2011350,12/16/2011,11000-12198-82079-2012,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2012-170036-,3200.0000,1/20/2012,Primary Mental Health,CM_FEB2012_00001_2012020,2012/01/20 #: CM_FEB2012_00001_2012020,01/20/2012,11000-12198-82079-2012,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2012-170036-,3000.0000,3/22/2012,Primary Mental Health,CM_APR2012_00001_2012082,2012/03/22 #: CM_APR2012_00001_2012082,03/22/2012,11000-12198-82079-2012,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2012-170036-,4250.0000,4/23/2012,Primary Mental Health,CM_MAY2012_00001_2012114,2012/04/23 #: CM_MAY2012_00001_2012114,04/23/2012,11000-12198-82079-2012,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2012-170002-,3640.0000,10/24/2011,Youth Service Bureau-Enhancement,CM_NOV2011_00002_2011297,2011/10/24 #: CM_NOV2011_00002_2011297,10/24/2011,11000-16201-82079-2012,2,11000-16201-82079-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2012-170002-,1040.0000,11/23/2011,Youth Service Bureau-Enhancement,CM_DEC2011_00002_2011327,2011/11/23 #: CM_DEC2011_00002_2011327,11/23/2011,11000-16201-82079-2012,2,11000-16201-82079-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2012-170002-,1040.0000,12/16/2011,Youth Service Bureau-Enhancement,CM_JAN2012_00002_2011350,2011/12/16 #: CM_JAN2012_00002_2011350,12/16/2011,11000-16201-82079-2012,2,11000-16201-82079-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2012-170002-,530.0000,1/20/2012,Youth Service Bureau-Enhancement,CM_FEB2012_00002_2012020,2012/01/20 #: CM_FEB2012_00002_2012020,01/20/2012,11000-16201-82079-2012,2,11000-16201-82079-170002,QE-3 03/31,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2012-170005-,11942.0000,10/4/2011,Child Nutrition State Matching Grant,STMCH_PUB_01-OCT2011-2011276,2011/10/04 #: STMCH_PUB_01-OCT2011-2011276,10/04/2011,11000-16211-82051-2012,2,11000-16211-82051-170005,QE-2 12/31,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2012-170005-,3659.0000,4/12/2012,Child Nutrition State Matching Grant,STMCH_PUB_01-APR2012-2012103,2012/04/12 #: STMCH_PUB_01-APR2012-2012103,04/12/2012,11000-16211-82051-2012,2,11000-16211-82051-170005,QE-4 06/30,
2,Ansonia,0000000002,000,00,1,,11000-16212-82010-2012-170005-,24515.0000,11/28/2011,Health Foods Initiative,HLTFD_PUB_01-NOV2011-2011332,2011/11/28 #: HLTFD_PUB_01-NOV2011-2011332,11/28/2011,11000-16212-82010-2012,2,11000-16212-82010-170005,QE-2 12/31,
2,Ansonia,0000000002,000,00,1,,11000-16212-82010-2012-170005-,7462.0000,6/13/2012,Health Foods Initiative,HLTFD_PUB_01-JUN2012-2012165,2012/06/13 #: HLTFD_PUB_01-JUN2012-2012165,06/13/2012,11000-16212-82010-2012,2,11000-16212-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17027-82010-2012-170005-,150409.0000,5/16/2012,Transportation Of School Children-Public,TRANPUB_EFT01_MAY2012_2012137,2012/05/16 #: TRANPUB_EFT01_MAY2012_2012137,05/16/2012,11000-17027-82010-2012,2,11000-17027-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17030-84003-2012-170013-,70716.0000,8/22/2011,Adult Education - Cooperative,ADEDCOOP_EFT01_AUG2011_2011234,2011/08/22 #: ADEDCOOP_EFT01_AUG2011_2011234,08/22/2011,11000-17030-84003-2012,2,11000-17030-84003-170013,QE-1 09/30,
2,Ansonia,0000000002,001,00,1,,11000-17030-84003-2012-170013-,33332.0000,5/24/2012,Adult Education - Cooperative,ADEDCOOP_EFT01_MAY2012_2012145,2012/05/24 #: ADEDCOOP_EFT01_MAY2012_2012145,05/24/2012,11000-17030-84003-2012,2,11000-17030-84003-170013,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17034-82010-2012-170006-,10226.0000,1/10/2012,Nonpublic Health Services,HLTHSRVC_EFT01_JAN2012_2012010,2012/01/10 #: HLTHSRVC_EFT01_JAN2012_2012010,01/10/2012,11000-17034-82010-2012,2,11000-17034-82010-170006,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-17041-82010-2012-170002-,3757917.0000,10/21/2011,Education Equalization,ECS_EFT01_OCT2011_2011294,2011/10/21 #: ECS_EFT01_OCT2011_2011294,10/21/2011,11000-17041-82010-2012,2,11000-17041-82010-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-17041-82010-2012-170002-,3757917.0000,1/24/2012,Education Equalization,ECS_EFT01_JAN2012_2012024,2012/01/24 #: ECS_EFT01_JAN2012_2012024,01/24/2012,11000-17041-82010-2012,2,11000-17041-82010-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-17041-82010-2012-170002-,7454278.0000,4/20/2012,Education Equalization,ECS_EFT01_APR2012_2012111,2012/04/20 #: ECS_EFT01_APR2012_2012111,04/20/2012,11000-17041-82010-2012,2,11000-17041-82010-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17043-82052-2012-170002-,220000.0000,10/24/2011,Priority School Districts,CM_NOV2011_00003_2011297,2011/10/24 #: CM_NOV2011_00003_2011297,10/24/2011,11000-17043-82052-2012,2,11000-17043-82052-170002,QE-2 12/31,
