City,report_year,index,Assignment Category,Educator Type,FTE Count,OrganizationCode,OrganizationType,Education spending,Enrollment
NEW HAVEN,2009,Achievement First Hartford Academy Inc. District,Administrators  Coordinators and Department Chairs - School Level,Certified,6.0,2880013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Achievement First Hartford Academy Inc. District,General Education - Teachers and Instructors,Certified,20.0,2880013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Achievement First Hartford Academy Inc. District,General Education - Paraprofessional Instructional Assistants,Non-Certified,0.0,2880013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Achievement First Hartford Academy Inc. District,Library/Media - Support Staff,Non-Certified,0.0,2880013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Achievement First Hartford Academy Inc. District,School Nurses,Non-Certified,0.5,2880013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Achievement First Hartford Academy Inc. District,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0.0,2880013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Achievement First Hartford Academy Inc. District,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,12.0,2880013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,Administrators  Coordinators and Department Chairs - School Level,Certified,10.0,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,General Education - Teachers and Instructors,Certified,51.0,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,General Education - Paraprofessional Instructional Assistants,Non-Certified,4.5,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,Library/Media - Support Staff,Non-Certified,0.0,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,School Nurses,Non-Certified,1.0,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0.0,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,22.0,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Amistad Academy District,Special Education - Teachers and Instructors,Certified,2.0,2790013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Bridgeport Achievement First District,Administrators  Coordinators and Department Chairs - School Level,Certified,3.0,2850013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Bridgeport Achievement First District,General Education - Teachers and Instructors,Certified,11.0,2850013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Bridgeport Achievement First District,General Education - Paraprofessional Instructional Assistants,Non-Certified,1.0,2850013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Bridgeport Achievement First District,Library/Media - Support Staff,Non-Certified,0.0,2850013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Bridgeport Achievement First District,School Nurses,Non-Certified,0.2,2850013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Bridgeport Achievement First District,Special Education - Paraprofessional Instructional Assistants,Non-Certified,1.0,2850013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Bridgeport Achievement First District,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,7.6,2850013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,Administrators  Coordinators and Department Chairs - School Level,Certified,2.0,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,General Education - Teachers and Instructors,Certified,12.8,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,General Education - Paraprofessional Instructional Assistants,Non-Certified,1.0,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,Library/Media - Support Staff,Non-Certified,0.0,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,School Nurses,Non-Certified,0.0,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0.0,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,7.0,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Common Ground High School District,Special Education - Teachers and Instructors,Certified,1.0,2680013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,Administrators  Coordinators and Department Chairs - School Level,Certified,2.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,General Education - Teachers and Instructors,Certified,20.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,General Education - Paraprofessional Instructional Assistants,Non-Certified,6.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,Library/Media - Support Staff,Non-Certified,0.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,School Nurses,Non-Certified,1.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,12.5,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,Instructional Specialists Who Support Teachers,Certified,1.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,Highville Charter School District,Counselors  Social Workers  and School Psychologists,Certified,1.0,2860013,Public Charter School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Administrators  Coordinators and Department Chairs - School Level,Certified,115.2,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,General Education - Teachers and Instructors,Certified,1284.2,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,General Education - Paraprofessional Instructional Assistants,Non-Certified,236.0,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Library/Media - Support Staff,Non-Certified,1.0,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,School Nurses,Non-Certified,30.3,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Special Education - Paraprofessional Instructional Assistants,Non-Certified,144.0,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,898.0,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Special Education - Teachers and Instructors,Certified,208.0,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Administrators  Coordinators and Department Chairs - District Central Office,Certified,36.8,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Instructional Specialists Who Support Teachers,Certified,88.0,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Library/Media - Specialists (Certified),Certified,34.0,0930011,Public School Districts,192024547.0,18074.31
NEW HAVEN,2009,New Haven School District,Counselors  Social Workers  and School Psychologists,Certified,98.1,0930011,Public School Districts,192024547.0,18074.31
ANDOVER,2009,Andover School District,Administrators  Coordinators and Department Chairs - School Level,Certified,2.0,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,General Education - Teachers and Instructors,Certified,25.3,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,General Education - Paraprofessional Instructional Assistants,Non-Certified,4.5,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,Library/Media - Support Staff,Non-Certified,0.0,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,School Nurses,Non-Certified,1.0,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,Special Education - Paraprofessional Instructional Assistants,Non-Certified,5.0,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,15.9,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,Special Education - Teachers and Instructors,Certified,3.0,0010011,Public School Districts,8056856.0,641.76
ANDOVER,2009,Andover School District,Administrators  Coordinators and Department Chairs - District Central Office,Certified,0.3,0010011,Public School Districts,8056856.0,641.76
