GrantName,Payment
ACCOUNTABILITY TRAINING AND TECHNICAL ASSISTANCE,125000.0
ADULT EDUC COOPERATING ELIGIBLE ENTITY,8345994.0
ADULT EDUCATION,38930075.0
ADULT EDUCATION   COOPERATIVE,27012472.0
ADULT EDUCATION   PROVIDER,241701094.0
ADULT EDUCATION TRANSITION PILOT,1474416.0
AFTER SCHOOL PROGRAM,31791496.0
AFTER SCHOOL PROGRAM DSS,190766.0
AFTER SCHOOL SUMMER LEARNING,150000.0
ALLIANCE DISTRICT STUDENT ACHIEVEMENT,1000000.0
ALT HIGH SCHOOL AND ADULT READING INCENTIVE,2070032.0
ARRA   EDUCATIONAL TECHNOLOGY,3334477.0
ARRA   IDEA  PART B  SECTION  PRE SCHOOL,4801606.0
ARRA   TITLE I   LOCAL N   D,127737.0
ARRA IDEA PART B  SECTION,121201635.16000001
ARRA MCKINNEY VENTO HOMELESS CHILDREN   YOUTH,262726.64
ARRA NSLP EQUIPMENT ASSISTANCE GRANT,656837.0
ARRA SCHOOL IMPROVEMENT GRANT,19677864.0
ARRA STABILIZATION ED GRANTS,423326645.0
ARRA STABILIZATION GOV SERV,91482045.0
ARRA TITLE I IMPROVING BASIC PROGRAMS,65476318.0
ART IN ED PROFESSIONAL LEARNING MINI GRANTS,223882.0
ASSESSMENT REDUCTION GRANT,346394.0
ASTE VOCATIONAL AGRICULTURE,56657288.0
BETANCES STEM MAGNET,7310240.0
BILINGUAL EDUCATION,29692816.0
BILINGUAL EDUCATION ELP,1836109.0
BRIDGEPORT PA  MBR PAYMENT,1900000.0
BRIDGEPORT PUBLIC SCHOOLS,250000.0
CARL D  PERKINS CAREER   TECH  EDUC  ACT,1446809.0
CARL D  PERKINS VOC    TECH  EDUC  ACT,1559754.0
CARL D  PERKINS VOC   TECH  EDUC  ACT,262419.0
CARL D PERKINS  INNOVATION,719479.0
CARL D PERKINS CAREER   TECH  EDUC  ACT,61231708.6
CARL D PERKINS CAREER   TECH  EDUCATION ACT,294193.0
CARL D PERKINS CAREER   TECH EDUC ACT,1385189.0
CARL D PERKINS VOC    TECH  EDUC  ACT,26136531.0
CARL PERKINS,274098.66
CCS PROFESSIONAL LEARNING MINI GRANTS,355216.0
CHILD   ADULT CARE   CASH IN LIEU COMMOD,1352742.9900000026
CHILD   ADULT CARE FOOD PROG ADMIN,-5561.0
CHILD   ADULT CARE FOOD PROGRAM,435047.0
CHILD   ADULT FOOD PROGRAM   PGM,22491386.22999997
CHILD NUTRITION STATE MATCHING GRANT,31642521.0
COMMISSIONER S NETWORK,53850494.0
COMMUNITY PLANS FOR EARLY CHILDHOOD,16228.0
