Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
BRANFORD,KE,2007,14,14,NH,80923813,28730429,109916059,4554650,6989557,72110546,86362652,45013856,6905303,81058201,100000,100000,3854090,3854090,1550361,993294,1550361,0,,53161247,53161247,376475,0,16615004,N,16238529,N,N,71202198,70434512,0.989218226100267,73486127,71202580,0.968925468068279,28984,Aa2,21.99,3271334991,5672083833.38,94,0.039155403445676,21.76,3650.43,South Central Regional COG
BRIDGEPORT,KE,2007,15,15,F,209090671,-168193991,44057892,64738897,203566550,228593633,461411919,211764417,65431539,461485340,500000,500000,0,0,426579,-5623439,426579,0,,716803247,716803247,0,0,29241106,N,29241106,N,Y,224126241,215656891,0.96221169836155,260365946,219393391,0.842634739183595,136695,Baa1,16,5329363911,11612526333.41,4059,0.071144776794367,42.28,22224.65,Greater Bridgeport RPA
BRIDGEWATER,VR,2007,16,16,L,2826681,4880971,8650456,841694,184356,6148622,6762439,4519993,5271,6247824,0,0,616100,616100,-101485,117457,-101485,0,606384.99,0,606384.99,0,175000,1269118,N,1269118,N,N,6172170,6138846,0.994600926416479,6267646,6150896,0.981372591878993,1884,,16.23,315814429,635975455.57,0,0.03000968054211,19.5,256.79000000000002,Housatonic Council of Elected Ofcls
BRISTOL,VR,2007,17,17,H,200700000,51656000,252766000,8946000,53364000,103802000,165267000,87131000,6954000,137236000,2195000,2195000,29991000,29991000,235000,2703000,235000,0,,59762000,59762000,1419000,8983000,27721000,N,26302000,N,N,103075000,100951000,0.979393645403832,106653000,102704000,0.962973380964436,60911,Aa3,26.51,2985902230,6511100191.83,847,0.051076777643201,34.21,9121.5400000000009,Central CT RPA
BROOKFIELD,VR,2007,18,18,F,18946692,10962009,29908701,6597079,4221621,45226773,51713795,34316860,3721984,49477593,0,0,2090803,2090803,145399,-265977,145399,0,,43188263,43188263,0,0,4083405,N,4083405,N,N,45018815,44418772,0.98667128399537,45668292,44859401,0.982287688797295,16413,Aa2,19.8,1835699550,3916401649.53,14,0.034836291478338,24.58,3066.44,Housatonic Council of Elected Ofcls
BROOKLYN,KE,2007,19,19,W,12384768,6080260,18465028,1787834,7697320,10301988,19231644,14303377,1726433,19307863,0,300000,300000,300000,-376219,-397620,-76219,0,,8021276,8021276,17438,230990,1003952,N,986514,N,N,10377189,10084557,0.971800455788172,10642858,10174736,0.956015386092721,7886,A3,28.97,478801217,850170501.66,45,0.051554404145078,21.41,1373.55,Northeastern CT COG
BURLINGTON,KE,2007,20,20,H,10334493,4546595,15019841,415618,3902055,21007377,26130043,19290326,487079,25892422,0,0,108011,108011,129610,-627332,129610,0,15882548.02,6262685,22145233.02,0,297809,2664346,N,2664346,N,N,20994129,20725446,0.987201993471603,21458600,20922658,0.975024372512652,9143,A2,29.79,750608692,1349086748.61,11,0.034547502816372,27.82,1858.05,Central CT RPA
CANAAN,KE,2007,21,21,L,2810914,1615740,4650972,182382,662654,3495986,4364375,2964982,106976,4317152,0,0,46000,46000,1223,23973,1223,0,546283.21,985250,1531533.21,0,0,655511,N,655511,N,N,3482194,3459908,0.993600011946491,3531104,3480883,0.985777535864138,1094,Baa1,32.94,117538075,265056592.33,3,0.036484245439469,29.5,150.94999999999999,Northwestern CT COG
CANTERBURY,KE,2007,22,22,W,8300716,3127779,11438258,181524,6042062,7334231,13762196,10486071,620359,13141467,0,0,364376,364376,256353,-19131,256353,0,,1820000,1820000,15214,291376,2117699,N,2102485,N,N,7192763,7064459,0.982162070403265,7402793,7219974,0.975304050781914,5100,A3,39.89,335799701,621373258.61,28,0.044883866917765,21.25,825,Northeastern CT COG
CANTON,VR,2007,23,23,H,55257947,8644931,63927978,4533078,4368195,26203584,32094109,20582466,2520141,30586090,35306,35306,667224,667224,876101,657200,876101,0,,18675568,18675568,9788,0,3629994,N,3620206,N,N,26196017,25878675,0.987885868298223,26810126,25989319,0.969384440789275,10086,A1,24.56,890612513,1623312521.67,11,0.031441048034934,28.91,1734.22,Capital Region COG
CHAPLIN,KE,2007,24,24,W,4536305,1684445,6226675,144552,2627308,4302633,7129482,5366747,373415,6958950,0,0,193245,193245,-22713,172669,-22713,0,0,1287990,1287990,169189,0,828179,Y,658990,N,N,4262779,4164405,0.976922566241412,4361175,4225247,0.968832252775915,2528,A3,19.440000000000001,125126770,255113405.11,13,0.043835616438356,33.799999999999997,350.37,Windham Region COG
CHESHIRE,VR,2007,25,25,NH,78069638,16328966,94577224,7409002,19550029,67953935,91481164,57588979,10512941,89655280,1075292,1075292,1629900,1629900,1271276,810008,1271276,0,,79496249,79496249,908005,550000,9895814,N,8987809,N,Y,67567688,67304316,0.996102101347615,67777671,67485045,0.995682560411378,28833,Aa2,32.909999999999997,2481073314,4475907982.57,43,0.036991113866501,27.15,5141.24,COG of Central Naugatuck Valley
CHESTER,VR,2007,26,26,M,5160503,3643544,8804047,419820,1101272,9408545,11117134,7384983,468765,11059627,116000,116000,149188,149188,24319,387238,24319,0,4803955.37,2270000,7073955.37,0,253837,1768359,N,1768359,N,N,9348861,9255947,0.990061463102297,9509847,9328149,0.980893698920708,3834,A2,16.03,415247902,770999602.25,8,0.033450704225352,22.37,575.17999999999995,CT River Estuary RPA
CLINTON,KE,2007,27,27,M,37643837,5221034,42864871,1720655,9340640,31819683,42707544,27684255,2068380,40274853,0,0,2270822,2270822,161869,107783,161869,0,,13994630,13994630,135687,250000,5377192,N,5241505,N,N,31781777,31614755,0.994744724311671,32080849,31678243,0.987450269785566,13578,A1,16.28,1628277385,2338812235.71,26,0.038272072754831,19.57,2130.67,CT River Estuary RPA
COLCHESTER,VR,2007,28,28,NL,62606766,9525568,72132334,1109894,16604214,28315301,46878639,33976567,5140434,47439990,1295,1295,411160,411160,-971216,450671,-971216,0,,27860000,27860000,174322,725400,5029527,N,4855205,N,N,28363487,27638224,0.974429695474326,29331549,28039183,0.955939387994817,15495,A1,49.06,860496640,1865719424.84,50,0.037087912087912,32.47,3266.66,Southeastern CT COG
COLEBROOK,KE,2007,29,29,L,3425034,2589007,6016201,280580,762763,4145793,5088736,3405853,206970,4914337,4661,4661,276200,276200,-97140,236945,-97140,0,967580.46,1219100,2186680.46,0,0,1441932,N,1441932,N,N,4124386,4039591,0.979440576124543,4293898,4088575,0.952182608902214,1529,A3,31.49,181857201,260320430,0,0.024213075060533,22.59,256.54000000000002,Litchfield Hills Cncl of Elected Ofcls
COLUMBIA,KE,2007,30,30,T,6729230,5805115,12543942,-75164,3516645,10816296,14952962,11165125,1054733,15012892,0,0,454205,454205,-514135,545630,-514135,0,,5905000,5905000,70518,1137963,2132917,Y,2062399,N,N,10760316,10655169,0.990228260954418,10884110,10733948,0.986203557295911,5331,A1,21.35,352818338,784831010.49,8,0.035655331792671,30.3,917.1,Windham Region COG
CORNWALL,KE,2007,31,31,L,5284080,2450295,7944423,484769,542507,5423449,6186393,3770035,418607,5577677,0,0,424500,424500,184216,326343,184216,0,640176.5,2920000,3560176.5,0,225570,1483893,Y,1483893,N,N,5302174,5224303,0.985313382774688,5488848,5283121,0.962519093259642,1480,A1,46,243453334,633961864.74,0,0.027878787878788,21.8,201.6,Northwestern CT COG
COVENTRY,VR,2007,32,32,T,92916023,3464711,96383534,6405806,9893591,22390138,33255204,22712102,2779444,33062631,145298,145298,71479,71479,266392,555867,266392,0,,18779811,18779811,199230,0,2296170,N,2096940,N,N,22253063,21774153,0.978478917711238,22797749,22137909,0.971056791615699,12192,A2,37.72,821309320,1397105332.62,32,0.041529428612344,26.92,2115.8200000000002,Windham Region COG
CROMWELL,VR,2007,33,33,M,82378615,11008614,93396664,2951253,5367574,32427042,39574010,24063006,4492606,38354384,795874,795874,886500,886500,1129000,-443590,1129000,0,,26535000,26535000,604962,326950,4560380,N,3955418,N,N,32363161,32056836,0.990534762658073,32987111,32235688,0.977220709021775,13552,A1,12.39,1023962920,1948854576.01,35,0.037692009810249,31.29,1996.86,Midstate RPA
DANBURY,VR,2007,34,34,F,140825731,21605547,163830326,10695025,36546992,133943860,186746620,107317345,8904084,181531008,0,1034240,2237551,2237551,2978061,3396727,4012301,0,,101361855,101361855,6915844,0,28319673,N,21403829,N,N,134011435,132134830,0.985996680059429,139016860,133727852,0.961954197498059,79226,Aa2,42.11,6077532420,12534548686.49,404,0.036653458213257,22.05,9884.65,Housatonic Council of Elected Ofcls
DARIEN,VR,2007,35,35,F,80135668,36444649,116580317,9452204,8088165,85836854,101017507,64441577,8933828,93516587,500032,500032,4818820,4818820,3182132,2866335,3182132,0,,84551128,84551128,267274,1100000,17046948,N,16779674,N,N,85538313,85015247,0.993885009165425,86507737,85405786,0.98726182144841,20246,Aaa,12.86,6405574735,12464978529.42,4,0.028112010500984,13.4,4608.99,South Western RPA
DEEP RIVER,KE,2007,36,36,M,8816424,-219104,8851070,-257769,1995851,10624636,13610188,9087372,1526358,14264379,37512,140512,37525,37525,-654204,39135,-551204,0,7412239.43,579052,7991291.43,0,0,593900,Y,593900,N,N,10509575,10356058,0.985392653841854,10774273,10538582,0.978124649338289,4673,Baa1,13.55,504439671,726064844.29,5,0.035951543571708,20.75,694.14,CT River Estuary RPA
DERBY,KE,2007,37,37,NH,21274701,7682590,28960694,-333850,11443333,21987148,34699578,17635611,1949594,36042200,144488,144488,0,0,-1198134,-42100,-1198134,0,,16514510,16514510,0,0,2183008,Y,2183008,N,N,22173702,21622851,0.975157463557506,22997046,22032642,0.95806400526398,12434,A2,4.98,896207301,1282926511.43,161,0.05139436414075,24.8,1560.34,Valley COG
DURHAM,KE,2007,38,38,M,42023553,4778327,46851802,256261,3944688,19642783,24275692,18577710,375550,23682700,27368,27368,277000,277000,343360,169299,343360,0,12333401.81,28095,12361496.81,0,176090,2809490,N,2809490,N,N,19335329,19100432,0.987851409200226,19741084,19392455,0.982339926216818,7397,,23.6,737610420,1062829528.57,6,0.033364442370509,26.25,1453.18,Midstate RPA
EAST GRANBY,VR,2007,39,40,H,17625713,2753085,21589896,292948,2281403,12965570,15844327,11079224,862000,15409229,100000,100000,360141,360141,174957,-148860,174957,0,,2640000,2640000,616747,0,2155474,N,1538727,N,N,12971408,12774375,0.984810207187994,13240208,12868100,0.971895607682296,5122,A1,17.48,479115795,831982585.79,8,0.036017669045192,26.9,938.26,Capital Region COG
EAST HADDAM,KE,2007,40,41,M,35999767,16865673,53306430,7170829,5754603,18669363,26087232,17082092,1129612,24393212,366231,366231,1121556,1121556,938695,284523,938695,0,,4714594,4714594,0,1142753,6222686,N,6222686,N,N,18609796,18463529,0.992140322225993,18742100,18564772,0.990538520229857,8852,A1,54.33,678581570,1387672463.28,19,0.036979369404438,27.23,1439.29,Midstate RPA
EAST HAMPTON,VR,2007,41,42,M,60424658,12879381,73320853,1597446,9993098,24111349,35402644,23441786,2154642,33362018,5914,5914,1713775,1713775,332765,290000,332765,0,,10874235,10874235,1888,0,3944764,N,3942876,N,N,24026413,23745910,0.988325223577902,24285365,23951338,0.986245749240335,12548,A2,35.590000000000003,1066156519,1524544698.57,29,0.04793152639087,22.23,2112.58,Midstate RPA
EAST HARTFORD,VR,2007,42,43,H,134170000,-1254000,133155000,4693000,48844000,103853000,159399000,84427000,9075000,155519000,298000,298000,165000,165000,4013000,413000,4013000,0,,47023000,47023000,968000,0,15785000,N,14817000,N,N,102173000,99595000,0.974768285163399,105581000,101913000,0.965258900749188,48697,A1,18.02,2335455490,4786965847.38,1173,0.060887966142298,43.62,8356.85,Capital Region COG
EAST HAVEN,KE,2007,43,44,NH,32585690,26928603,61807932,-2050715,23552235,48112640,74708062,42210468,7971683,75931383,0,0,631215,631215,-1854536,1993061,-1854536,0,,58453508,58453508,0,0,4091026,N,4091026,N,N,47489214,46462068,0.978370962298934,49549789,47323992,0.955079586716303,28632,A3,12.26,1249757955,3314709992.03,257,0.050891854808532,37.75,3932.63,South Central Regional COG
EAST LYME,VR,2007,44,45,NL,39431305,9531642,59077665,-696320,10439767,40626355,56726941,38111914,6367772,58573457,2050649,2081395,955043,955043,-750910,248665,-720164,0,,46755718,46755718,525032,700000,5287343,N,4762311,N,N,40451698,39985901,0.988485106360677,41008797,40319714,0.983196702892796,18690,Aa3,34.03,1412861058,3375105333.98,35,0.035100434872644,28.39,2992.91,Southeastern CT COG
EAST WINDSOR,KE,2007,45,47,H,36936953,9437822,46408510,2395242,6984588,21760585,30007326,17052072,2053176,28697564,440000,440000,394142,394142,1355620,460485,1355620,0,,13692899,13692899,0,600000,5198588,N,5198588,N,N,21336984,20711420,0.970681704593302,22547085,21350190,0.946915754298172,10617,A1,26.28,755775435,1427927546.92,72,0.048631239935588,27.8123,1613.36,Capital Region COG
EASTFORD,KE,2007,46,39,W,2072538,1325187,3437017,408705,1436166,3206830,4816108,3445577,0,4528963,0,0,105987,105987,181158,152594,181158,0,,0,0,51897,0,823259,N,771362,N,N,3170934,3101560,0.978121903514863,3278336,3174037,0.968185384292519,1789,,28.88,101283397,222686635.77,2,0.036,31.2,269.87,Northeastern CT COG
EASTON,KE,2007,47,46,F,47642649,6373867,54016516,2673670,1807967,32999225,36370789,21625026,4390424,35272280,122219,138468,332078,332078,888650,678779,904899,0,11359343.14,36800000,48159343.14,0,569200,5363664,N,5363664,N,Y,32748686,32583227,0.994947614081371,33227461,32758254,0.985878939110033,7366,Aa1,27.42,1237750240,2434259851.45,0,0.034020894722743,26.57,1567.88,Greater Bridgeport RPA
ELLINGTON,VR,2007,48,48,T,41696390,4727447,47159719,1126917,11333020,27794644,41433232,27133354,2735485,41909665,316940,1512998,194589,194589,-354082,790932,841976,0,,19840164,19840164,122000,3371129,5426926,N,5304926,Y,N,27840465,27537730,0.989126079611098,28649955,27804422,0.970487458008224,14426,A2,34.049999999999997,1131752994,1628457220,32,0.038192453262989,24.3,2562.39,Capital Region COG
ENFIELD,VR,2007,49,49,H,183330000,34133000,217525000,7648000,36650000,75769000,117348000,72357000,3974000,109212000,67000,67000,6731000,6731000,1472000,-590000,1472000,0,,22523000,22523000,2007000,6943000,19895000,N,17888000,N,N,75636000,73763000,0.975236659791634,78320000,74725000,0.954098569969356,45011,Aa3,33.380000000000003,2081393118,4832501061.45,302,0.047416156928918,36.18,6584.14,Capital Region COG
ESSEX,VR,2007,50,50,M,11859608,2687539,14547147,1532899,1666801,16401807,19112220,12310835,630627,18288811,870,85568,254125,254125,570154,340589,654852,0,8208805.19,2783357,10992162.19,464911,0,2588070,N,2123159,N,N,16310574,16114739,0.987993371661843,16643200,16240955,0.975831270428764,6753,Aa3,10.36,1007048492,1765373656.6,10,0.034235668789809,16.2,946.21,CT River Estuary RPA
FAIRFIELD,KE,2007,51,51,F,191534000,40939000,232958000,15653000,13788000,192784000,223447000,131280000,20410000,220202000,113000,113000,2688000,2688000,670000,672000,670000,0,,213421000,213421000,2628000,1100000,12200000,N,9572000,N,Y,191857000,190021000,0.990430372621275,194051000,191185000,0.985230686778218,57548,Aaa,30.03,11650318037,16662195442.86,81,0.036460539319497,16.670000000000002,9495.94,Greater Bridgeport RPA
FARMINGTON,VR,2007,52,52,H,55323795,15833869,71157664,2772163,9524768,68584419,83410437,49756734,9049542,81067666,0,0,2146750,2146750,196021,629179,196021,0,,72587163,72587163,448180,350000,8493906,N,8045726,N,N,68340829,68168321,0.997475769572535,68545039,68296097,0.996368198141955,25084,Aa1,28.06,2691453780,5250021685.01,45,0.035766933043681,25.24,4231.05,Capital Region COG
FRANKLIN,KE,2007,53,53,NL,7115018,1753797,8877312,380461,1526527,4194028,5937117,4000129,519981,5627253,0,0,126541,126541,183323,212047,183323,0,,2413500,2413500,0,330628,978023,Y,978023,N,N,4170712,4080718,0.978422389270705,4294595,4157072,0.967977655634582,1891,A3,19.510000000000002,175540943,313943780.93,3,0.036020583190395,23.63,312.35000000000002,Southeastern CT COG
GLASTONBURY,VR,2007,54,54,H,148634177,38415432,187049609,15737613,7469242,104127646,124663619,74031222,10370675,121404912,1558223,1558223,3355000,3355000,1461930,3277522,1461930,0,,95891875,95891875,387873,898165,15664232,N,15276359,N,N,103690601,103294543,0.996180386687121,104123663,103727605,0.996196272887557,33169,Aa1,51.37,3030822790,5856152420.16,39,0.032242063492064,34,6930.83,Capital Region COG
GOSHEN,VR,2007,55,55,L,3094760,2516730,5920510,1233257,329603,8429018,9139026,6029668,132252,8393706,127242,127242,437881,437881,434681,504006,434681,0,2732149.89,48750,2780899.89,0,0,1921259,N,1921259,N,N,8278575,8218320,0.9927215734592,8437700,8346106,0.98914467212629,3168,A2,43.66,387757480,828668250.69,0,0.035648432698218,21.2,425.29,Litchfield Hills Cncl of Elected Ofcls
GRANBY,VR,2007,56,56,H,42948442,10886189,55107204,2372125,7976867,28703794,38167849,25073445,3044976,35687937,183787,623362,1798627,1798627,865072,337947,1304647,0,,36532761,36532761,184084,1600000,5409417,N,5225333,N,N,28558431,28340088,0.992354516955081,28842871,28544285,0.989647840535708,11215,A1,40.69,822656220,1546982021.06,9,0.033518665607625,34.67,2255.0100000000002,Capital Region COG
GREENWICH,VR,2007,57,57,F,304124219,15971811,320096030,31174080,31223582,247117504,319341181,123286129,4718597,285545060,14816182,14816182,78117000,78117000,-29504697,-22835793,-29504697,0,,53292991,53292991,6111361,0,-37331772,N,-43443133,N,N,246345085,245439302,0.996323113164608,248188233,246187743,0.991939625920944,61871,Aaa,47.83,32824463316,46909058280,68,0.029837909361561,7.5,8950.9599999999991,South Western RPA
GRISWOLD,VR,2007,58,58,NL,35770841,13354293,49287567,3471940,12973156,14328590,31135753,22792880,1999856,28677666,0,0,1588731,1588731,869356,1395959,869356,0,,5295000,5295000,1153407,1600000,7101819,N,5948412,N,N,14245111,13820113,0.970165343042957,15021579,14093970,0.938248236087564,11390,Baa1,34.950000000000003,489220910,1275432556.25,109,0.047492666573544,28.75,1978.59,Southeastern CT COG
GROTON,VR,2007,59,59,NL,92285747,52232356,144847596,35973594,43580461,66389842,114233924,72450322,3916583,110445210,648008,648008,2635872,2635872,1800850,-1702583,1800850,0,,31045000,31045000,1846901,3943110,14826667,N,12979766,N,N,65828369,64595190,0.981266754459616,67403076,65635624,0.973777873282816,42324,Aa3,31.3,2733502239,6423553860.2,354,0.042857142857143,24.05,5391.55,Southeastern CT COG
GROTON (City of),VR,2007,60,501,,17258682,7217084,25324029,867128,681333,5253193,11704415,0,1090406,14008697,2465034,2465034,133369,133369,27383,471303,27383,0,,5130000,5130000,33609,659538,3462429,N,3428820,N,N,5148126,5101085,0.990862500257375,5250787,5190593,0.988536194669485,,Aa3,,,,,,,,
GUILFORD,KE,2007,61,60,NH,18286156,-1997017,16289139,1878049,7890489,58219632,69181750,46723393,4587869,69752192,0,0,354455,354455,-924897,542154,-924897,0,,25600002,25600002,1046999,1300000,4997065,N,3950066,N,Y,54128603,53927153,0.996278307792278,54401120,54077615,0.994053339343014,22373,Aa2,47.05,2518220894,4890602705.67,37,0.032703432317779,23.16,3796.5,South Central Regional COG
HADDAM,VR,2007,62,61,M,16107897,5391095,21498992,-843050,1492794,21436229,23858814,17273280,235957,22939650,0,165948,25900,25900,893264,-316921,1059212,0,13078672.69,996330,14075002.69,1017803,0,3972532,N,2954729,N,N,21847411,20814348,0.952714626003054,22605775,21165038,0.936266861012286,7800,,44.03,842081605,1203605562.86,15,0.0315659170621,25,1376.07,Midstate RPA
HAMDEN,VR,2007,63,62,NH,140840449,-96392752,44459662,7187959,34857364,119456053,162935577,75918099,11773097,168389550,0,1212514,0,0,-5453973,4557034,-4241459,0,,105381139,105381139,132888,0,7084409,N,6951521,N,Y,118310721,116491586,0.984624089984204,119985479,116870509,0.974038775142115,57698,A2,32.78,4216334976,6041312037.14,444,0.044788806067739,27.95,7079.27,South Central Regional COG
HAMPTON,KE,2007,64,63,W,3711394,2095175,7267786,550968,1815484,3592230,5695410,3869624,393651,5186082,0,0,244085,244085,265243,-199011,265243,0,0,646145,646145,56569,0,1262422,Y,1205853,N,N,3568366,3521610,0.986897083987461,3665775,3559124,0.970906288574722,2118,A3,25,117342523,226516653.11,4,0.048006509357201,30.1,252.54,Windham Region COG
