"FTE Staffing Report for 2006-07"

"District","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Administrators  Coordinators and Department Chairs - School Level","Certified",3.0
,="General Education - Teachers and Instructors",="Certified",27.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.5
,="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",0.0
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.0
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",23.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9
,="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.3
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="General Education - Teachers and Instructors",="Certified",147.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",50.5
,="Instructional Specialists Who Support Teachers",="Certified",9.0
,="Library/Media - Support Staff",="Non-Certified",103.4
,="School Nurses",="Non-Certified",4.6
,="Special Education - Teachers and Instructors",="Certified",23.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",24.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",103.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",12.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0
,="General Education - Teachers and Instructors",="Certified",127.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.0
,="Instructional Specialists Who Support Teachers",="Certified",10.1
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",3.6
,="Special Education - Teachers and Instructors",="Certified",89.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",31.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",18.2
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",26.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",37.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Library/Media - Support Staff",="Non-Certified",0.5
,="School Nurses",="Non-Certified",1.2
,="Special Education - Teachers and Instructors",="Certified",7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.6
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0
,="General Education - Teachers and Instructors",="Certified",210.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Instructional Specialists Who Support Teachers",="Certified",9.5
,="Library/Media - Support Staff",="Non-Certified",0.5
,="School Nurses",="Non-Certified",5.0
,="Special Education - Teachers and Instructors",="Certified",21.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",167.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Library/Media - Specialists (Certified)",="Certified",5.0
,="Counselors  Social Workers  and School Psychologists",="Certified",16.8
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",20.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.8
,="Instructional Specialists Who Support Teachers",="Certified",1.2
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",3.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.2
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.4
,="General Education - Teachers and Instructors",="Certified",206.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.6
,="Instructional Specialists Who Support Teachers",="Certified",11.8
,="Library/Media - Support Staff",="Non-Certified",5.2
,="School Nurses",="Non-Certified",5.5
,="Special Education - Teachers and Instructors",="Certified",34.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",41.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",115.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.2
,="Library/Media - Specialists (Certified)",="Certified",4.8
,="Counselors  Social Workers  and School Psychologists",="Certified",16.8
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",40.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Library/Media - Support Staff",="Non-Certified",1.6
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.7
