"FTE Staffing Report for 2011-12"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",7.8
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",59.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",31.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.1
,="Counselors  Social Workers  and School Psychologists",="Certified",2.5
,="General Education - Teachers and Instructors",="Certified",71.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",2.0
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",27.0
,="Instructional Specialists Who Support Teachers",="Certified",0.3
,="Library/Media - Specialists (Certified)",="Certified",0.5
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",25.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.5
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.4
,="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.6
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",13.6
,="General Education - Teachers and Instructors",="Certified",142.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",42.0
,="Library/Media - Support Staff",="Non-Certified",4.0
,="School Nurses",="Non-Certified",4.5
,="Special Education - Teachers and Instructors",="Certified",22.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",47.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",91.5
,="Instructional Specialists Who Support Teachers",="Certified",8.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0
,="Counselors  Social Workers  and School Psychologists",="Certified",27.0
,="General Education - Teachers and Instructors",="Certified",111.1
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",24.2
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",5.0
,="Special Education - Teachers and Instructors",="Certified",85.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",55.2
,="Instructional Specialists Who Support Teachers",="Certified",12.3
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",10.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",39.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.5
,="Library/Media - Support Staff",="Non-Certified",0.8
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.9
,="Instructional Specialists Who Support Teachers",="Certified",1.1
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.2
,="Counselors  Social Workers  and School Psychologists",="Certified",18.6
,="General Education - Teachers and Instructors",="Certified",207.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.9
,="Library/Media - Support Staff",="Non-Certified",1.2
,="School Nurses",="Non-Certified",5.2
,="Special Education - Teachers and Instructors",="Certified",30.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",83.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",137.7
,="Instructional Specialists Who Support Teachers",="Certified",12.0
,="Library/Media - Specialists (Certified)",="Certified",5.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.4
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.2
