"FTE Staffing Report for 2017-18"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",20.0
,="Counselors  Social Workers  and School Psychologists",="Certified",4.8
,="General Education - Teachers and Instructors",="Certified",82.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0
,="Instructional Specialists Who Support Teachers",="Certified",5.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",15.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",40.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.1
,="Counselors  Social Workers  and School Psychologists",="Certified",3.8
,="General Education - Teachers and Instructors",="Certified",107.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",17.0
,="Instructional Specialists Who Support Teachers",="Certified",5.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",4.5
,="Special Education - Teachers and Instructors",="Certified",15.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",47.0
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.5
,="General Education - Teachers and Instructors",="Certified",19.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.1
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",14.0
,="General Education - Teachers and Instructors",="Certified",136.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",30.0
,="Instructional Specialists Who Support Teachers",="Certified",4.4
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",4.1
,="Special Education - Teachers and Instructors",="Certified",26.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",23.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",87.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.0
,="Counselors  Social Workers  and School Psychologists",="Certified",29.0
,="General Education - Teachers and Instructors",="Certified",105.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.5
,="Instructional Specialists Who Support Teachers",="Certified",17.2
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",10.7
,="Special Education - Teachers and Instructors",="Certified",88.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",266.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",138.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",11.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.1
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",37.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.5
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.6
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0
,="General Education - Teachers and Instructors",="Certified",205.1
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.8
,="Instructional Specialists Who Support Teachers",="Certified",11.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",6.2
,="Special Education - Teachers and Instructors",="Certified",32.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",56.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",117.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",4.0
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.3
