"FTE Staffing Report for 2010-11"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",6.9
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",50.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.5
,="Special Education - Teachers and Instructors",="Certified",1.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",35.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.8
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",72.1
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",3.0
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.0
,="Instructional Specialists Who Support Teachers",="Certified",3.5
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",26.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.4
,="Instructional Specialists Who Support Teachers",="Certified",1.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.3
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",13.6
,="General Education - Teachers and Instructors",="Certified",147.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",45.5
,="Library/Media - Support Staff",="Non-Certified",4.0
,="School Nurses",="Non-Certified",4.5
,="Special Education - Teachers and Instructors",="Certified",22.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",46.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",93.5
,="Instructional Specialists Who Support Teachers",="Certified",9.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0
,="Counselors  Social Workers  and School Psychologists",="Certified",27.0
,="General Education - Teachers and Instructors",="Certified",116.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.3
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",5.0
,="Special Education - Teachers and Instructors",="Certified",89.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",52.0
,="Instructional Specialists Who Support Teachers",="Certified",12.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",10.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",39.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0
,="Library/Media - Support Staff",="Non-Certified",0.8
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.3
,="Instructional Specialists Who Support Teachers",="Certified",1.1
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.7
,="Counselors  Social Workers  and School Psychologists",="Certified",17.2
,="General Education - Teachers and Instructors",="Certified",204.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5
,="Library/Media - Support Staff",="Non-Certified",1.2
,="School Nurses",="Non-Certified",5.0
,="Special Education - Teachers and Instructors",="Certified",29.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",81.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",134.1
,="Instructional Specialists Who Support Teachers",="Certified",12.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.5
,="Library/Media - Specialists (Certified)",="Certified",5.0
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.1
,="General Education - Teachers and Instructors",="Certified",21.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.6
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.6
,="Instructional Specialists Who Support Teachers",="Certified",0.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.4
,="Counselors  Social Workers  and School Psychologists",="Certified",16.8
,="General Education - Teachers and Instructors",="Certified",200.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.7
,="Library/Media - Support Staff",="Non-Certified",4.9
,="School Nurses",="Non-Certified",5.4
,="Special Education - Teachers and Instructors",="Certified",34.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",45.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",119.5
,="Instructional Specialists Who Support Teachers",="Certified",12.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",4.8
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="General Education - Teachers and Instructors",="Certified",37.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8
,="Library/Media - Support Staff",="Non-Certified",0.4
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.5
,="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
="Bethel School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.7
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0
,="General Education - Teachers and Instructors",="Certified",203.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0
,="Library/Media - Support Staff",="Non-Certified",5.0
,="School Nurses",="Non-Certified",6.0
,="Special Education - Teachers and Instructors",="Certified",34.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",32.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",130.0
,="Instructional Specialists Who Support Teachers",="Certified",6.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.3
,="Library/Media - Specialists (Certified)",="Certified",4.0
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.7
,="Counselors  Social Workers  and School Psychologists",="Certified",21.8
,="General Education - Teachers and Instructors",="Certified",178.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0
,="Library/Media - Support Staff",="Non-Certified",5.0
,="School Nurses",="Non-Certified",5.5
,="Special Education - Teachers and Instructors",="Certified",25.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",159.1
,="Instructional Specialists Who Support Teachers",="Certified",9.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.5
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Bolton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",5.9
,="General Education - Teachers and Instructors",="Certified",63.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2
,="Library/Media - Support Staff",="Non-Certified",2.6
,="School Nurses",="Non-Certified",2.0
,="Special Education - Teachers and Instructors",="Certified",7.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.6
,="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
="Bozrah School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5
,="General Education - Teachers and Instructors",="Certified",18.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2
,="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5
="Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.1
,="Counselors  Social Workers  and School Psychologists",="Certified",17.5
,="General Education - Teachers and Instructors",="Certified",244.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0
,="Library/Media - Support Staff",="Non-Certified",4.0
,="School Nurses",="Non-Certified",6.0
,="Special Education - Teachers and Instructors",="Certified",32.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",65.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",146.6
,="Instructional Specialists Who Support Teachers",="Certified",7.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Library/Media - Specialists (Certified)",="Certified",6.5
="Bridgeport Achievement First District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5
,="General Education - Teachers and Instructors",="Certified",29.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",0.5
,="Special Education - Teachers and Instructors",="Certified",1.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.5
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",64.0
,="Counselors  Social Workers  and School Psychologists",="Certified",126.2
,="General Education - Teachers and Instructors",="Certified",1135.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",152.0
,="Library/Media - Support Staff",="Non-Certified",12.0
,="School Nurses",="Non-Certified",25.0
,="Special Education - Teachers and Instructors",="Certified",226.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",227.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",863.5
,="Instructional Specialists Who Support Teachers",="Certified",96.3
