"FTE Staffing Report for 2002-03"

"District","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Administrators  Coordinators and Department Chairs - School Level","Certified",1.8
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",14.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",0.0
,="Special Education - Teachers and Instructors",="Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.4
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.4
,="General Education - Teachers and Instructors",="Certified",23.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.3
,="Library/Media - Support Staff",="Non-Certified",0.1
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.6
,="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.2
,="Counselors  Social Workers  and School Psychologists",="Certified",9.0
,="General Education - Teachers and Instructors",="Certified",136.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",24.1
,="Library/Media - Support Staff",="Non-Certified",5.0
,="School Nurses",="Non-Certified",4.0
,="Special Education - Teachers and Instructors",="Certified",18.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",89.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.2
,="Counselors  Social Workers  and School Psychologists",="Certified",24.6
,="General Education - Teachers and Instructors",="Certified",131.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.8
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",3.4
,="Special Education - Teachers and Instructors",="Certified",90.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",59.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.0
,="Instructional Specialists Who Support Teachers",="Certified",10.8
,="Library/Media - Specialists (Certified)",="Certified",2.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",37.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.2
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",25.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8
,="Instructional Specialists Who Support Teachers",="Certified",1.6
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.4
,="Counselors  Social Workers  and School Psychologists",="Certified",15.2
,="General Education - Teachers and Instructors",="Certified",198.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8
,="Library/Media - Support Staff",="Non-Certified",8.0
,="School Nurses",="Non-Certified",5.0
,="Special Education - Teachers and Instructors",="Certified",17.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",40.0
