"FTE Staffing Report for 2009-10"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",5.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="General Education - Teachers and Instructors",="Certified",34.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",0.8
,="Special Education - Teachers and Instructors",="Certified",1.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",61.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",2.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",20.9
,="Instructional Specialists Who Support Teachers",="Certified",2.5
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",26.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.9
,="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.3
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",13.6
,="General Education - Teachers and Instructors",="Certified",143.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",35.0
,="Library/Media - Support Staff",="Non-Certified",4.0
